weight,stratum,psu,age,sex,race,pregprev,pregprev2
1.8559,101,11030,16,2,1,,
0.4294,101,11030,17,2,,,
1.8559,101,11030,16,2,1,2,3
1.4373,101,11030,17,1,1,3,4
1.4373,101,11030,15,1,1,,
1.4373,101,11030,16,1,1,,
1.4373,101,11030,16,1,1,,
0.406,101,11030,15,1,,1,1
1.4373,101,11030,15,1,1,2,3
1.4373,101,11030,16,1,1,,
1.4373,101,11030,16,1,1,,
1.4373,101,11030,16,1,1,1,1
1.3076,101,11030,16,1,3,3,4
1.8559,101,11030,15,2,1,,
1.8559,101,11030,15,2,1,,
1.7949,101,11030,16,2,2,2,2
1.4373,101,11030,16,1,1,,
1.4373,101,11030,17,1,1,1,1
1.4373,101,11030,15,1,1,3,4
1.9098,101,11030,18,2,1,,
1.9098,101,11030,18,2,1,3,4
1.7949,101,11030,18,2,2,3,4
1.9098,101,11030,18,2,1,,
1.1388,101,11030,17,1,1,3,4
1.1388,101,11030,17,1,1,,
1.1388,101,11030,18,1,1,3,4
1.1388,101,11030,17,1,1,,
1.1388,101,11030,17,1,1,,
1.1388,101,11030,18,1,1,4,5
1.1388,101,11030,18,1,,3,4
1.1388,101,11030,18,1,1,,
1.9098,101,11030,18,2,1,,
1.9098,101,11030,17,2,1,,
1.9098,101,11030,17,2,1,,
1.9098,101,11030,18,2,1,,
1.2953,101,11030,,1,,1,1
0.8931,101,11030,18,1,2,2,2
1.1388,101,11030,18,1,1,1,1
1.1388,101,11030,18,1,1,3,4
1.1388,101,11030,17,1,1,3,4
2.055,101,11030,17,2,1,3,4
2.055,101,11030,17,2,1,3,4
2.055,101,11030,16,2,1,5,6
2.055,101,11030,17,2,1,,
2.055,101,11030,18,2,1,3,4
1.5104,101,11030,15,2,3,1,1
1.8559,101,11030,18,2,1,,
1.8559,101,11030,,2,,,
1.5104,101,11030,17,2,3,,
1.5899,101,11030,17,1,1,,
1.3264,101,11030,12,1,3,,
1.3264,101,11030,12,1,3,,
1.3264,101,11030,12,1,3,,
1.3507,101,11030,17,1,3,,
1.5899,101,11030,17,1,1,,
1.5899,101,11030,17,1,1,,
1.5899,101,11030,17,1,1,,
1.5899,101,11030,17,1,1,,
1.5899,101,11030,16,1,1,,
1.5899,101,11030,17,1,1,2,2
1.5899,101,11030,17,1,1,3,4
1.5899,101,11030,18,1,1,,
1.3264,101,11030,12,1,3,,
1.7171,101,11030,15,2,3,,
1.9541,101,11030,16,2,1,,
1.9541,101,11030,15,2,1,,
1.9541,101,11030,14,2,1,3,4
1.8873,101,11030,15,2,2,,
1.9541,101,11030,15,2,1,,
1.9541,101,11030,14,2,1,,
1.9541,101,11030,15,2,1,,
1.9541,101,11030,16,2,1,,
1.9541,101,11030,14,2,1,,
1.9541,101,11030,14,2,1,,
1.8873,101,11030,15,2,2,,
1.4373,101,11030,16,1,1,3,4
1.4024,101,11030,15,1,1,,
1.4024,101,11030,15,1,1,,
1.4024,101,11030,15,1,1,1,1
1.4024,101,11030,15,1,1,,
1.4024,101,11030,14,1,1,,
1.4024,101,11030,14,1,1,,
1.4024,101,11030,14,1,1,,
1.4024,101,11030,15,1,1,,
1.3264,101,11030,15,1,3,3,4
1.4024,101,11030,14,1,1,,
1.4024,101,11030,14,1,1,,
1.9541,101,11030,15,2,1,,
1.9541,101,11030,15,2,1,2,2
0.2747,112,170000,18,1,2,5,6
0.2747,112,170000,17,1,2,,
0.2747,112,170000,,1,,,
0.2549,112,170000,17,2,2,3,4
0.2747,112,170000,17,1,2,,
0.2883,112,170000,18,1,3,1,1
0.2747,112,170000,18,1,2,3,4
0.2747,112,170000,18,1,2,3,4
0.2747,112,170000,17,1,2,3,4
0.2747,112,170000,18,1,2,,
0.2747,112,170000,18,1,2,4,5
0.2549,112,170000,18,2,2,3,4
0.2747,112,170000,18,1,2,3,4
0.2747,112,170000,17,1,2,4,5
0.0644,112,170000,18,2,,,
0.2747,112,170000,17,1,2,4,5
0.2747,112,170000,18,1,2,3,4
0.2747,112,170000,18,1,2,,
0.2747,112,170000,18,1,2,2,2
0.2747,112,170000,17,1,2,,
0.2747,112,170000,17,1,2,3,4
0.2747,112,170000,17,1,2,2,2
0.2747,112,170000,17,1,2,,
0.4168,112,170000,16,1,2,1,1
0.4168,112,170000,15,1,2,,
0.4294,112,170000,16,2,2,,
0.6713,112,170000,16,2,2,4,5
0.2734,112,170000,17,1,2,3,4
0.2734,112,170000,17,1,2,3,4
0.2734,112,170000,16,1,2,3,4
0.6713,112,170000,16,2,2,3,4
0.4294,112,170000,17,2,2,,
0.4294,112,170000,16,2,2,3,4
0.4294,112,170000,16,2,2,3,4
0.6713,112,170000,17,2,2,3,4
0.4294,112,170000,16,2,2,,
0.4168,112,170000,15,1,2,,
0.4439,112,170000,15,1,,1,1
0.4294,112,170000,15,2,2,,
0.4294,112,170000,16,2,2,4,5
0.4294,112,170000,15,2,2,3,4
0.4294,112,170000,16,2,2,4,5
0.4294,112,170000,15,2,2,3,4
0.1254,112,170000,16,1,,,
0.4168,112,170000,16,1,2,3,4
0.4032,112,170000,15,1,2,3,4
0.4032,112,170000,14,1,2,,
0.9658,112,170000,15,2,2,,
0.4032,112,170000,14,1,2,3,4
0.4032,112,170000,15,1,2,,
0.9658,112,170000,13,2,2,,
0.5169,112,170000,14,1,,,
0.9658,112,170000,15,2,2,3,4
0.9658,112,170000,15,2,2,,
0.4032,112,170000,15,1,2,,
0.4032,112,170000,15,1,2,4,5
0.4032,112,170000,14,1,2,,
0.9658,112,170000,15,2,2,3,4
