WEIGHT,STRATUM,PSU,age,sex,race,pregprev,pregprev2
0.5497,101,11170,16,2,1,,
0.3811,101,11170,18,2,3,,
0.4238,101,11170,16,1,3,,
0.4238,101,11170,17,1,3,,
0.5497,101,11170,18,2,1,,
0.6113,101,11170,16,1,1,,
0.5497,101,11170,16,2,1,,
0.8327,101,11170,18,1,1,2,2
0.6113,101,11170,17,1,1,,
0.3811,101,11170,17,2,3,,
0.5497,101,11170,16,2,1,,
0.5704,101,11170,16,1,2,,
0.5497,101,11170,16,2,1,,
0.513,101,11170,17,2,2,,
0.4238,101,11170,17,1,3,,
0.513,101,11170,16,2,2,,
0.4238,101,11170,17,1,3,,
0.6113,101,11170,17,1,1,,
0.513,101,11170,17,2,2,,
0.6113,101,11170,17,1,1,5,6
0.6113,101,11170,17,1,1,,
0.4207,101,11170,16,2,,,
0.5497,101,11170,17,2,1,,
0.4238,101,11170,17,1,3,2,2
0.6113,101,11170,16,1,1,3,4
0.7848,101,11170,14,1,1,,
0.7848,101,11170,14,,1,,
0.5729,101,11170,15,1,3,,
0.4803,101,11170,14,2,2,,
0.3685,101,11170,18,2,3,,
0.3685,101,11170,15,2,3,,
0.7465,101,11170,14,1,2,,
0.5729,101,11170,14,1,3,,
0.3685,101,11170,15,2,3,,
0.5049,101,11170,15,2,1,,
0.7465,101,11170,15,1,2,,
0.5049,101,11170,14,2,1,5,6
0.5049,101,11170,14,2,1,,
0.6735,101,11170,16,1,1,,
0.3685,101,11170,15,2,3,,
0.3685,101,11170,14,2,3,,
0.5049,101,11170,15,2,1,,
0.4978,101,11170,14,1,,,
0.5049,101,11170,15,2,1,3,4
0.7848,101,11170,14,1,1,3,4
0.7848,101,11170,14,1,1,,
0.7848,101,11170,15,1,1,,
0.5049,101,11170,15,2,1,,
0.4803,101,11170,14,2,2,,
0.8112,101,11170,17,2,1,,
0.8327,101,11170,18,1,1,3,4
0.8112,101,11170,17,2,1,,
0.8327,101,11170,18,1,1,2,2
0.8112,101,11170,18,2,1,,
0.8327,101,11170,18,1,1,2,2
0.8327,101,11170,18,1,1,3,4
0.8327,101,11170,17,1,1,1,1
0.8327,101,11170,18,1,1,,
0.5104,101,11170,17,1,3,,
0.8112,101,11170,18,2,1,3,4
0.8292,101,11170,17,2,2,,
0.8112,101,11170,18,2,1,,
0.4972,101,11170,18,2,3,3,4
0.4972,101,11170,17,2,3,,
0.8327,101,11170,18,1,1,3,4
0.8112,101,11170,18,2,1,2,2
0.3798,101,11170,16,2,3,,
0.3798,101,11170,15,2,3,,
0.522,101,11170,17,2,1,,
0.6735,101,11170,16,1,1,,
0.49,101,11170,16,1,3,,
0.522,101,11170,16,2,1,,
0.3798,101,11170,16,2,3,,
0.3798,101,11170,15,2,3,,
0.6735,101,11170,15,1,1,3,4
0.3798,101,11170,16,2,3,,
0.6144,101,11170,16,1,2,,
0.49,101,11170,15,1,3,,
0.3798,101,11170,16,2,3,,
0.3798,101,11170,16,2,3,,
0.3798,101,11170,16,2,3,,
0.6735,101,11170,15,1,1,,
0.6735,101,11170,15,1,1,,
0.6735,101,11170,15,1,1,3,4
0.2299,101,11170,16,2,,,
0.49,101,11170,16,1,3,,
0.3798,101,11170,15,2,3,3,4
0.6735,101,11170,16,1,1,3,4
0.3798,101,11170,16,2,3,,
0.49,101,11170,16,1,3,3,4
0.3798,101,11170,17,2,3,,
0.3177,101,11170,16,2,,,
0.6735,101,11170,15,1,1,3,4
0.3798,101,11170,16,2,3,,
0.2608,104,50770,17,1,2,,
0.2608,104,50770,17,1,2,,
0.2608,104,50770,17,1,2,2,2
0.2608,104,50770,17,1,2,,
0.2829,104,50770,17,2,2,,
0.2608,104,50770,16,1,2,,
0.2608,104,50770,17,1,2,3,4
0.2608,104,50770,17,1,2,,
0.2608,104,50770,16,1,2,,
0.2608,104,50770,17,1,2,1,1
0.1014,104,50770,16,2,,,
0.4958,104,50770,16,2,2,,
0.4958,104,50770,16,2,2,1,1
